Front,Back,Tags
Service mesh on AWS?,AWS App Mesh for traffic shaping, mTLS, retries/timeouts across ECS/EKS/EC2 services.,aws sap containers
Cluster autoscaling patterns?,EC2 ASG with Cluster AutoScaler (EKS); Karpenter for provisioning; Fargate for serverless pods/tasks.,aws sap containers
Ingress choices?,ALB Ingress Controller (EKS), NLB for gRPC/TCP, Gateway API (emerging); WAF at ALB/CloudFront.,aws sap containers
Registry and image security?,ECR with scanning/signing (Sigstore/Notation), least privilege; private links to ECR.,aws sap containers
Secrets/config for containers?,Secrets Manager/Parameter Store with IAM task roles; Kubernetes secrets with KMS (EKS Envelope Encryption).,aws sap containers
Multi-account/multi-VPC connectivity?,TGW hub-and-spoke, PrivateLink for service exposure, VPC Lattice for service connectivity with auth.,aws sap containers
Logging and tracing?,Sidecars/Daemons for logs/metrics; OpenTelemetry collectors; CloudWatch/Fluent Bit integration.,aws sap containers
Blue/green and canary?,ECS CodeDeploy blue/green; EKS service mesh or progressive delivery controllers for canary.,aws sap containers
Cost controls?,Right-size tasks/pods, Spot/Fargate Spot, bin packing, GP2→GP3; avoid cross-AZ data transfer.,aws sap containers VPC data transfer: What are common charges?	Intra-AZ same ENI: $0; cross-AZ in same region: ~$0.01/GB each direction; inter-Region: ~$0.02–0.09/GB; Internet egress: from ~$0.09/GB first 10 TB/mo. Varies by region/tier.	aws cost
ALB pricing: How are LCUs billed?	ALB ~$0.0225/hour + ~$0.008 per LCU-hour (LCU = max of new conns, active conns, processed bytes, rule evals). Regional variance applies.	aws cost
NLB pricing: What are LCUs and fixed costs?	NLB ~$0.0225/hour + ~$0.006 per LCU-hour (flows, active connections, processed bytes, TLS). TLS termination adds cert handling costs.	aws cost
API Gateway REST vs HTTP: Key price deltas?	REST: ~$3.50/million req; HTTP: ~$1.00/million req; WebSocket ~$1.00/million messages. Data transfer out and integration calls extra.	aws cost
Lambda: How are requests and compute billed?	$0.20/million requests + duration: ~$0.0000166667 per GB-second (rounded to ms), plus provisioned concurrency if used. Free tier applies.	aws cost
Step Functions Standard vs Express: Cost model?	Standard: ~$0.025 per 1,000 state transitions. Express: billed per requests + duration + memory (cheaper at high TPS). Choose based on pattern.	aws cost
S3 storage: What are class prices?	Standard: ~$0.023/GB-mo; IA: ~$0.0125/GB-mo + retrieval; One Zone-IA: ~$0.01/GB-mo; Glacier Instant: ~$0.004/GB-mo; Deep Archive: ~$0.00099/GB-mo. Requests extra.	aws cost
S3 requests: What are common request costs?	PUT/COPY/POST/LIST: ~$0.005/1k; GET/SELECT: ~$0.0004/1k for Standard; different for classes. Data transfer out follows egress pricing.	aws cost
CloudFront: What drives cost?	Data transfer out to Internet by edge region tier (~$0.02–0.09/GB), HTTP/HTTPS requests (~$0.01–$0.0075 per 10k–100k), functions@edge/Lambda@Edge extra.	aws cost
EBS gp3: How billed?	Storage ~$0.08/GB-mo; provisioned IOPS ~$0.005/prov-IOPS-mo; provisioned throughput ~$0.04/MBps-mo. Snapshots billed per GB-mo in EBS Snap.	aws cost
EBS io2: Relative cost?	Higher price for consistent performance: storage ~$0.125/GB-mo; IOPS ~$0.065/prov-IOPS-mo (example). Use when high durability and IOPS needed.	aws cost
EBS snapshots: Pricing?	~$0.05/GB-mo of stored snapshot data (after compression/dedup). Cross-Region copy incurs transfer + storage in target.	aws cost
EFS: Standard vs IA costs?	Standard: ~$0.30/GB-mo; IA: ~$0.025/GB-mo + retrieval ~$0.01/GB. Lifecycle mgmt can move files to IA.	aws cost
FSx for ONTAP: Typical components?	Per-GB storage ~$0.13/GB-mo SSD (example), throughput capacity $/MBps-mo, backups per GB-mo. Pricing varies by deployment.	aws cost
RDS On-Demand: What factors matter?	Instance hours based on class/region, storage (GB-mo), IOPS (PIOPS), backup storage, Multi-AZ premium. Engine licensing (Oracle/SQL Server) adds cost.	aws cost
Aurora: Key cost levers?	ACU (serverless) or instance hours (provisioned), storage ~$0.10/GB-mo, I/O ~$0.20 per 1M requests, backup ~$0.021/GB-mo. Global DB x-Region replication adds.	aws cost
DynamoDB On-Demand: Costs?	Reads ~$1.25/million RCU; writes ~$1.25/million WCU; storage ~$0.25/GB-mo; Streams ~$0.02/million read req. Global Tables replicate costs per region.	aws cost
DynamoDB Provisioned: What adds cost?	WCU/RCU hours (with auto scaling), storage, DAX (cache nodes hourly), backups/restore, global tables multi-region replication.	aws cost
Kinesis Data Streams: Cost drivers?	Shard hours ~$0.015/hr, PUT payload units ~$0.014/MB, enhanced fan-out consumers ~$0.015/hr/consumer-shard plus data out. Egress follows transfer pricing.	aws cost
Kinesis Firehose: How billed?	Per-GB ingested (~$0.029–0.035/GB), optional transformation/format conversion, VPC delivery, and data format costs; destination (e.g., S3) charges apply.	aws cost
Athena: How priced?	~$5.00 per TB scanned (compressed/columnar reduces scan). AWS Glue Data Catalog billed separately. Result set S3 storage charged as normal.	aws cost
Glue: ETL job pricing?	~$0.44 per DPU-hour (Glue 3.0 example). Crawlers billed per DPU-hour too. Interactive sessions and studio have separate rates.	aws cost
OpenSearch Service: Main costs?	Instance hours (by type/size), EBS/instance storage GB-mo, snapshots, UltraWarm/Cold storage tiers cheaper per GB. AZ replication doubles infra.	aws cost
EKS: Control plane cost?	~$0.10/hour ($72/mo) per cluster for control plane. Worker nodes billed as EC2; using Fargate adds per-vCPU/GB-hour.	aws cost
ECS: Control plane cost?	No charge for ECS control plane. Costs are from EC2/Fargate resources, load balancers, data transfer, and ECR storage.	aws cost
ECR: Storage and transfer?	~$0.10/GB-mo storage; data transfer out per standard egress; scanning (Basic free; Enhanced has per-scan fees in some regions).	aws cost
Route 53: Hosted zones and queries?	Hosted zone ~$0.50/zone-mo (first 25); standard queries ~$0.40/million; health checks ~$0.50/check-mo + data transfer for checks.	aws cost
