"Prompt","Answer","Tags"
"What are the primary goals of an AWS landing zone for large enterprises?","Provide a governed multi-account baseline with standardized identity, networking, logging, security guardrails, and automation so teams can deploy workloads safely and independently.","domain1;governance"
"Which AWS services compose a Control Tower landing zone?","AWS Organizations, shared accounts (management, audit, log archive), IAM Identity Center, AWS Config, CloudTrail, Service Catalog Account Factory, guardrail SCPs, detective controls, and centralized S3/KMS resources.","domain1;governance"
"How do you customize Control Tower guardrails beyond built-ins?","Extend with custom SCPs, Control Tower lifecycle hooks via CloudFormation StackSets, AWS Config conformance packs, and AWS Service Catalog products for mandatory resources.","domain1;governance"
"When would you build a bespoke landing zone instead of using Control Tower?","When you need pre-existing governance frameworks, multi-cloud integration, unsupported regions, custom account vending pipelines, or fine-grained control not yet available in Control Tower.","domain1;governance"
"How do AWS Organizations OUs help with compliance segregation?","They isolate accounts into hierarchies where SCPs, Config rules, and delegated admins can enforce differing compliance requirements (e.g., PCI, HIPAA) while sharing central services via RAM.","domain1;organizations"
"What pattern allows auditing teams read-only access across every account?","Create a security audit role in each account via StackSets that trusts the audit account, grant IAM Identity Center group access, and enforce via SCPs that prevent removal of the role or CloudTrail.","domain1;governance"
"How do you safely delegate service administration (e.g., GuardDuty) in Organizations?","Enable the service in the management account, designate delegated administrator accounts, auto-enroll member accounts, and enforce required policies via SCPs and AWS Config.","domain1;operations"
"What is the recommended approach to tagging governance at scale?","Use Organizations tag policies to define allowed keys/values, enforce compliance with AWS Config or resource groups, and integrate with IaC pipelines to validate tags pre-deploy.","domain1;tagging"
"How do you centralize identity for thousands of users across accounts?","Use IAM Identity Center (AWS SSO) sourced from corporate IdP (SAML/OIDC), define permission sets mapped to accounts/OUs, and automate assignments via Identity Center API or Terraform.","domain1;identity"
"What is an account vending machine (AVM)?","An automated workflow (Control Tower Account Factory or custom solution) that provisions new accounts with baseline guardrails, networking, logging, IAM assignments, and cost controls.","domain1;governance"
"How do you ensure CloudTrail and Config can’t be disabled by workloads?","Apply SCPs denying cloudtrail:StopLogging/config:StopConfigurationRecorder, enable organization trails/recorders, and monitor via Security Hub/CloudWatch for tampering.","domain1;security"
"How do you share centralized network services into workload accounts?","Use AWS RAM to share subnets, Transit Gateway attachments, Route 53 resolver rules, or AWS Network Firewall policies from a networking account, enabling workloads to consume infrastructure without ownership.","domain1;networking"
"When should you use AWS Account Alternate Contacts API?","To programmatically set security, operations, and billing contacts per account so critical notifications reach responsible teams, supporting compliance requirements.","domain1;operations"
"What is the benefit of AWS Billing Conductor for enterprises?","It lets you define billing accounts, pricing plans, and custom markups/discounts to provide showback/chargeback aligned with internal cost models across OUs.","domain1;cost"
"How do you implement break-glass access in a management account?","Create a tightly controlled IAM role requiring hardware MFA, limit actions via SCPs, store credentials in a secure vault, monitor usage with CloudTrail, and rotate secrets after use.","domain1;security"
"How can you restrict usage of unsupported regions?","Attach SCPs that deny actions when aws:RequestedRegion is not in the approved list and back it with Config rules or CloudTrail Lake queries for detective enforcement.","domain1;governance"
"What approach provides multi-account API rate limiting for governance?","Use CloudFormation StackSets or Systems Manager Automation with throttled concurrency, and rely on EventBridge scheduled rules to distribute enforcement tasks over time.","domain1;operations"
"How do you consolidate cost and usage data for analytics?","Enable Cost and Usage Reports into a dedicated S3 bucket, query with Athena, aggregate with QuickSight, and share datasets using Lake Formation permissions.","domain1;cost"
"How to ensure infrastructure standards are met before launch?","Implement CI/CD guardrails using cfn-lint, CloudFormation Guard, Terraform validate, integrate with Service Catalog pipelines, and require approval workflows for production deployments.","domain1;operations"
"What is the role of AWS Config conformance packs?","They bundle related Config rules and remediation actions, can be deployed via StackSets across accounts/regions, and provide aggregated compliance scores for governance dashboards.","domain1;compliance"
"How do you maintain least privilege across accounts?","Use permission sets with job-based profiles, enforce tag-based ABAC, regularly run IAM Access Analyzer and Access Advisor, and remove unused roles through automation.","domain1;identity"
"How do you govern data classification tags?","Establish organization-wide tag taxonomy, enforce via tag policies, leverage Macie/Config to validate placement, and require tagging in infrastructure pipelines.","domain1;governance"
"What tool surfaces drifts from landing zone baselines?","AWS Control Tower proactive/detective guardrails supplemented by Config conformance packs and Systems Manager Compliance dashboards highlight drifts for remediation.","domain1;operations"
"How do you enable cost allocation per business unit in shared accounts?","Use cost allocation tags, AWS Budgets, split CUR data by tag or account, and distribute charges via Billing Conductor or custom Athena queries.","domain1;cost"
"Why deploy shared services in a dedicated account?","To isolate critical infrastructure (DNS, directory, security tooling), simplify permissions, minimize blast radius, and enable centralized management and logging.","domain1;architecture"
"How do you expose shared services to workload accounts securely?","Use AWS RAM for subnets/endpoints, share Route 53 resolver rules, enforce SG/NACL restrictions, and require resource policies limiting principals to organization IDs.","domain1;networking"
"How can finance teams access spending data without console access?","Publish CUR datasets to QuickSight dashboards or Athena views, share via QuickSight reader accounts, and restrict direct console access using SCPs and budgets alerts.","domain1;cost"
"What controls prevent data exfiltration through misconfigured IAM roles?","Use SCPs denying sts:AssumeRole to external accounts unless condition matches aws:PrincipalOrgID, enforce MFA, and monitor CloudTrail for unusual cross-account usage.","domain1;security"
"How do you align AWS account structure with product teams?","Adopt cell-based OUs per product domain, grant account-level autonomy, share platform services via Control Tower, and enforce guardrails for compliance boundaries.","domain1;organizations"
"What is the role of AWS Service Catalog in governance?","It provides a curated set of approved infrastructure blueprints, enforces tagging/compliance, supports self-service provisioning, and integrates with Control Tower for account baselines.","domain1;operations"
"How do you monitor landing zone health?","Use Control Tower dashboard, AWS Health events, CloudWatch metrics from Config/CloudTrail, and Security Hub aggregated findings to detect baseline drift.","domain1;operations"
"How do you implement budget guardrails per OU?","Create AWS Budgets with action policies or SNS alerts, use cost categories to aggregate OU spend, and integrate with Step Functions to trigger automated remediation (e.g., disable resources).","domain1;cost"
"Why configure default VPC deletion?","Removing default VPCs discourages ad-hoc deployments without governance; enforce via SCPs and automation to delete default VPC resources on account creation.","domain1;networking"
"How can you detect shadow IT accounts?","Use AWS Account Management APIs, AWS Config aggregator, or central DNS to identify resources outside the organization; integrate with organizations:DescribeAccount for inventory.","domain1;operations"
"What strategy ensures consistent CloudWatch log retention?","Deploy StackSets that set log retention policies, enforce via Config custom rules, and run periodic remediation with Systems Manager Automation.","domain1;operations"
"How do you share AMIs across accounts securely?","Use AMI sharing with organization IDs, encrypt with KMS CMKs shared via grants, and replicate via EC2 Image Builder pipelines.","domain1;compute"
"How do you implement centralized DNS logging?","Enable Route 53 Resolver query logging to S3/CloudWatch in the DNS account, aggregate with Athena, and enforce via SCPs so workloads cannot disable logging.","domain1;networking"
"What is the difference between guardrails and detective controls?","Guardrails are preventive SCPs restricting actions; detective controls (Config, Security Hub) alert when resources drift from policy, enabling remediation workflows.","domain1;governance"
"How do you enforce cross-account backup policies?","Use AWS Backup delegated admin, create organization-wide policies targeting resource types, enforce via vault locks, and share vaults for centralized retention.","domain1;resiliency"
"What governance considerations exist for data residency?","Restrict regions via SCP, ensure S3 buckets enforce AllowedLocations conditions, maintain separate accounts per jurisdiction, and report residency compliance via Config/Audit Manager.","domain1;compliance"
"When should you use AWS Global Accelerator instead of Route 53 latency routing?","Choose Global Accelerator when you need static anycast IPs, improved TCP/UDP performance via AWS edge network, fast failover, and health-aware traffic shifting beyond DNS caching limits.","domain2;networking"
"How do you design a multi-Region active-active web architecture?","Place ALBs in each Region, replicate data using Aurora Global Database or DynamoDB global tables, front with Global Accelerator or latency-based Route 53, handle session affinity via Redis Global Datastore or JWT tokens.","domain2;networking;resiliency"
"What’s the pattern for centralized egress filtering across many VPCs?","Use a shared services VPC with AWS Network Firewall or Gateway Load Balancer appliances attached via Transit Gateway, route 0.0.0.0/0 from spoke VPCs to the egress VPC, and enforce DNS firewall rules.","domain2;networking;security"
"How do you segregate traffic domains on Transit Gateway?","Create multiple TGW route tables, associate attachments to the correct table per domain, and use propagation to control reachable CIDRs, enabling hub-and-spoke segmentation.","domain2;networking"
"When is AWS Cloud WAN preferable to Transit Gateway?","Use Cloud WAN for global SD-WAN style connectivity with policy segments, centralized routing, and integration with third-party SD-WAN providers; TGW suits Region-scoped architectures.","domain2;networking;hybrid"
"How do you implement hybrid DNS resolution?","Deploy Route 53 Resolver inbound endpoints for on-prem to query AWS private zones, outbound endpoints for AWS workloads to resolve on-prem names, and use conditional forwarding rules shared via RAM.","domain2;networking;hybrid"
"What combination delivers high availability for Direct Connect?","Use redundant DX connections in different facilities (or LAG), configure BGP with graceful restart, add Site-to-Site VPN as failover, and integrate with Transit Gateway for multi-VPC connectivity.","domain2;networking;resiliency"
"How do you achieve deterministic outbound IPs for private workloads?","Deploy NAT Gateways or Transit Gateway appliances with Elastic IPs, or use Global Accelerator, ensuring security groups and routing force outbound traffic through the egress path.","domain2;networking"
"What AWS service simplifies cross-account service-to-service connectivity with auth?","Amazon VPC Lattice provides service networks, built-in auth/authorization, traffic policies, and cross-account/VPC connectivity without managing mesh infrastructure.","domain2;networking;integration"
"How do you enable zero trust access to internal web apps?","Use AWS Verified Access with policies referencing Identity Center attributes, enforce context-aware checks, integrate with device posture providers, and remove blanket VPN access.","domain2;networking;security"
"How can you visualize network reachability before deployment?","Run VPC Network Access Analyzer or Reachability Analyzer in pipelines to validate security group, NACL, and route table intent, preventing misconfigurations before launch.","domain2;networking;operations"
"When do you choose PrivateLink over VPC peering?","Use PrivateLink to expose specific services privately via interface endpoints without sharing full CIDR reachability; choose peering for bidirectional routing between VPCs.","domain2;networking"
"How do you scale multi-account API ingress securely?","Front workloads with CloudFront or ALB in a shared account, integrate with WAF and Shield, route to services via PrivateLink or VPC Lattice, and enforce central certificates via ACM.","domain2;networking;security"
"What’s the strategy for IPv6 adoption in AWS?","Enable dual-stack VPC/subnets, configure egress-only internet gateways, ensure security groups allow IPv6, update load balancer listeners, and coordinate with partners for IPv6 connectivity.","domain2;networking"
"How do you design low-latency metro deployments?","Use AWS Local Zones for compute/storage close to users, connect back to Region via high-bandwidth ENIs, replicate data asynchronously, and manage central services in the Region.","domain2;edge"
"What ensures multi-Region DNS failover works end-to-end?","Configure Route 53 failover or health-check-based routing, ensure health checks run outside the Region, replicate data/services, and automate recovery actions via Lambda or SSM.","domain2;networking;resiliency"
"When is AWS Network Firewall preferred over security appliances?","For managed stateful inspection, centralized policy management via Firewall Manager, deep packet inspection, and intrusion prevention integrated with VPC traffic without third-party licensing.","domain2;networking;security"
"How do you protect against DDoS on global web apps?","Use CloudFront + Shield Advanced, configure Route 53 or Global Accelerator health checks, design multi-Region failover, and apply WAF rules plus rate limiting.","domain2;networking;security"
"How do you connect AWS workloads to SaaS providers privately?","Establish AWS PrivateLink to the SaaS endpoint service, approve connections, configure security groups, and optionally share the endpoint with other accounts via RAM.","domain2;networking;integration"
"How can you enforce outbound allowlists for workloads?","Use VPC endpoints with restrictive policies, DNS firewall to control domain-level egress, and AWS Network Firewall rules to permit only approved destinations.","domain2;networking;security"
"What pattern provides centralized inbound traffic inspection?","Deploy Gateway Load Balancer with third-party firewalls, integrate with ALB/NLB for ingress, and distribute across accounts via GWLB endpoints.","domain2;networking;security"
"How do you share TGW connectivity between accounts securely?","Use AWS RAM to share TGW, manage attachments per account, enforce route table associations, and apply resource policies to limit attachments to organization principals.","domain2;networking"
"When should you choose multi-NIC EC2 networking?","For network appliances requiring multiple subnets, advanced routing, or traffic separation; configure ENIs, disable source/dest check, and manage via Linux routing tables.","domain2;networking"
"How do you implement cross-Region VPC connectivity without the public internet?","Use Transit Gateway peering attachments or Cloud WAN core network edges, which leverage AWS backbone for encrypted communication.","domain2;networking;resiliency"
"What service helps analyze VPC flow log data at scale?","Use Amazon VPC Flow Logs into CloudWatch Logs or S3, analyze with Athena or QuickSight, and integrate GuardDuty for anomaly detection.","domain2;operations;networking"
"How do you integrate on-prem SD-WAN appliances with AWS?","Leverage Cloud WAN partner integrations or deploy SD-WAN appliances in VPCs connected to TGW, using BGP over IPSec or DX connections for policy-based routing.","domain2;hybrid;networking"
"How do you segment traffic between environments in a shared VPC?","Use separate subnets, security group rules, NACLs, AWS Network Firewall policies, and optionally VPC Lattice or service mesh to enforce isolation.","domain2;networking;security"
"What enables automated certificate renewal for internal services?","AWS Certificate Manager Private CA issues private certs, integrate with ACM-managed services (ALB, API Gateway), or use PCA APIs with automation for custom workloads.","domain2;security;networking"
"How do you secure traffic between microservices across accounts?","Use mutual TLS via AWS App Mesh, enforce identity with SPIFFE on EKS, or rely on VPC Lattice authentication plus TLS.","domain2;networking;security"
"What strategy ensures resilient site-to-site VPN connectivity?","Deploy two VPN tunnels per connection, use multiple VGWs or TGW, configure failover scripts, and monitor via CloudWatch for tunnel status.","domain2;networking;resiliency"
"How can you control bandwidth on hybrid links?","Use AWS Network Manager metrics, configure QoS on routers, and monitor via CloudWatch or third-party network performance monitoring tools.","domain2;networking;operations"
"When do you employ AWS Direct Connect Gateway?","When you need to share DX connectivity across multiple Regions/VPCs or connect to Transit Gateways in different accounts without full mesh.","domain2;networking;hybrid"
"How do you implement secure public API endpoints with minimal latency globally?","Use CloudFront with origin shield, integrate with WAF/Shield, terminate TLS at the edge, route to regional API Gateway or ALB, and replicate data across Regions.","domain2;networking;resiliency"
"What’s the role of AWS Resource Access Manager in networking?","It shares network resources (subnets, TGW attachments, Route 53 endpoints, Network Firewall policies) across accounts with fine-grained permission boundaries.","domain2;networking"
"How do you perform blue/green DNS cutovers safely?","Pre-create blue environment, use Route 53 weighted records to shift traffic gradually, monitor health checks, and roll back by adjusting weights.","domain2;networking;operations"
"When should you prefer Graviton-based EC2 instances?","Use Graviton (ARM) instances for workloads that can be recompiled to ARM to gain up to 40% better price/performance, especially for web/app servers, containers, and managed services that already support Graviton.","domain2;compute;cost"
"How do you design Auto Scaling for unpredictable workloads?","Use dynamic scaling policies based on target tracking (CPU, custom CloudWatch metrics), combine with scheduled actions for known peaks, and ensure warm pools or step scaling for rapid bursts.","domain2;compute;operations"
"What is the benefit of EC2 Launch Templates over Launch Configurations?","Launch Templates support versioning, multiple instance types, mixed instance policies, tagging on launch, and integration with Spot/Fleet features that launch configurations lack.","domain2;compute"
"How do you run Spot Instances safely in production?","Use Auto Scaling groups with mixed instance policies, capacity-optimized allocation, minimum On-Demand percentage, lifecycle hooks for draining, and persistent state stored externally (S3, DynamoDB).","domain2;compute;cost"
"When is AWS Compute Optimizer useful?","It analyzes resource utilization to recommend right-sized EC2, Auto Scaling groups, EBS volumes, Lambda memory, and ECS services to reduce cost or improve performance.","domain2;compute;operations"
"How do you implement blue/green deployments on EC2?","Use AWS CodeDeploy with blue/green strategy or Elastic Beanstalk blue/green, create new Auto Scaling groups, shift traffic via ALB target group weighting, and automate rollback on health check failure.","domain2;compute;deployment"
"What service simplifies running scheduled or event-driven jobs on containers?","AWS Batch orchestrates compute environments (EC2 or Fargate) for batch workloads, managing queue priorities, Spot integration, retries, and dependencies.","domain2;compute;containers"
"How do you accelerate machine image builds?","Use EC2 Image Builder pipelines to automate AMI golden images with testing, versioning, and distribution across Regions/accounts.","domain2;compute;operations"
"When do you choose AWS App Runner?","For simple container or source-based web apps needing HTTPS, auto scaling, and zero infrastructure management, especially for platform teams offering PaaS-like developer experience.","domain2;compute;containers"
"How do you secure credentials for EC2 applications?","Use IAM roles for EC2 (instance profiles), access via IMDSv2, avoid long-lived keys, and store secrets in Secrets Manager or Parameter Store with least privilege policies.","domain2;compute;security"
"What design keeps EC2-based workloads stateless?","Store session state in DynamoDB/ElastiCache, configuration in Parameter Store/AppConfig, assets in S3, and rely on Auto Scaling to add/remove instances without data loss.","domain2;compute;architecture"
"When should you use Elastic Beanstalk?","For quickly deploying web applications with minimal infrastructure management while retaining control of underlying EC2 resources for customization.","domain2;compute"
"How do you run containers without managing servers?","Use AWS Fargate with ECS or EKS, which handles provisioning and scaling infrastructure while you define CPU/memory per task or pod.","domain2;containers"
"What pattern supports multi-tenant ECS clusters?","Use separate namespaces or task groups with IAM task roles, enforce resource quotas, implement service discovery with Cloud Map, and isolate traffic with ALB target groups or App Mesh.","domain2;containers;security"
"When is EKS the right choice?","Select Amazon EKS when you need full Kubernetes compatibility, ecosystem tooling, managed control plane, and flexibility to run workloads across AWS and on-prem (EKS Anywhere).","domain2;containers"
"How do you integrate EKS with IAM securely?","Use IAM roles for service accounts (IRSA) for pod-level least privilege, map roles via aws-auth configmap for admins, and enforce RBAC plus network policies.","domain2;containers;security"
"What is the benefit of App Mesh?","App Mesh provides service mesh capabilities (traffic routing, retries, observability, mtls) for microservices running on ECS, EKS, or EC2, decoupling networking logic from applications.","domain2;containers;networking"
"How do you run containers at the edge?","Use AWS IoT Greengrass or EKS Anywhere on Outposts/edge servers, or deploy ECS Anywhere for hybrid clusters with consistent management.","domain2;containers;edge"
"When should you choose Lambda over containers?","Use Lambda for event-driven, short-lived workloads requiring automatic scaling, pay-per-invoke pricing, and minimal operational overhead; prefer containers for long-running or custom runtime needs.","domain2;serverless"
"How do you control Lambda concurrency?","Set reserved concurrency to guarantee availability and maximum concurrency to throttle spikes, use provisioned concurrency for low-latency starts, and monitor with CloudWatch metrics.","domain2;serverless;operations"
"What strategies mitigate Lambda cold starts?","Enable provisioned concurrency, keep deployment packages small, reuse execution context for warm starts, use SnapStart for Java, and place functions in same VPC/AZ for cached ENIs.","domain2;serverless;performance"
"How do you deploy Lambda safely?","Use SAM or CDK pipelines, apply CodeDeploy traffic shifting with canary/linear strategies, monitor CloudWatch alarms, and enable automatic rollback on failure.","domain2;serverless;deployment"
