NAT Gateway (us-east-1): What are the main cost components?	~$0.045/hour per NAT GW + ~$0.045/GB data processed. Also cross-AZ data and NAT AZ design impact. Prices vary by region/date.	aws cost
VPC data transfer: What are common charges?	Intra-AZ same ENI: $0; cross-AZ in same region: ~$0.01/GB each direction; inter-Region: ~$0.02–0.09/GB; Internet egress: from ~$0.09/GB first 10 TB/mo. Varies by region/tier.	aws cost
ALB pricing: How are LCUs billed?	ALB ~$0.0225/hour + ~$0.008 per LCU-hour (LCU = max of new conns, active conns, processed bytes, rule evals). Regional variance applies.	aws cost
NLB pricing: What are LCUs and fixed costs?	NLB ~$0.0225/hour + ~$0.006 per LCU-hour (flows, active connections, processed bytes, TLS). TLS termination adds cert handling costs.	aws cost
API Gateway REST vs HTTP: Key price deltas?	REST: ~$3.50/million req; HTTP: ~$1.00/million req; WebSocket ~$1.00/million messages. Data transfer out and integration calls extra.	aws cost
Lambda: How are requests and compute billed?	$0.20/million requests + duration: ~$0.0000166667 per GB-second (rounded to ms), plus provisioned concurrency if used. Free tier applies.	aws cost
Step Functions Standard vs Express: Cost model?	Standard: ~$0.025 per 1,000 state transitions. Express: billed per requests + duration + memory (cheaper at high TPS). Choose based on pattern.	aws cost
S3 storage: What are class prices?	Standard: ~$0.023/GB-mo; IA: ~$0.0125/GB-mo + retrieval; One Zone-IA: ~$0.01/GB-mo; Glacier Instant: ~$0.004/GB-mo; Deep Archive: ~$0.00099/GB-mo. Requests extra.	aws cost
S3 requests: What are common request costs?	PUT/COPY/POST/LIST: ~$0.005/1k; GET/SELECT: ~$0.0004/1k for Standard; different for classes. Data transfer out follows egress pricing.	aws cost
CloudFront: What drives cost?	Data transfer out to Internet by edge region tier (~$0.02–0.09/GB), HTTP/HTTPS requests (~$0.01–$0.0075 per 10k–100k), functions@edge/Lambda@Edge extra.	aws cost
EBS gp3: How billed?	Storage ~$0.08/GB-mo; provisioned IOPS ~$0.005/prov-IOPS-mo; provisioned throughput ~$0.04/MBps-mo. Snapshots billed per GB-mo in EBS Snap.	aws cost
