What does h do in Normal mode?	Move cursor left one character	vim motion
What does j do in Normal mode?	Move cursor down one line	vim motion
What does k do in Normal mode?	Move cursor up one line	vim motion
What does l do in Normal mode?	Move cursor right one character	vim motion
What does 0 (zero) do?	Move to beginning of line	vim motion
What does ^ do?	Move to first non-blank character of line	vim motion
What does $	do?	Move to end of line	vim motion
What does gg do?	Go to first line of file	vim motion
What does G do?	Go to last line of file	vim motion
What does {count}G do (e.g., 42G)?	Go to line {count}	vim motion
What does w do?	Move to start of next word	vim motion
What does W do?	Move to start of next WORD (non-blank sequences)	vim motion
What does e do?	Move to end of current word	vim motion
What does E do?	Move to end of current WORD	vim motion
What does b do?	Move to start of previous word	vim motion
What does B do?	Move to start of previous WORD	vim motion
What does ge do?	Move to end of previous word	vim motion
What does gE do?	Move to end of previous WORD	vim motion
What does f{char} do?	Jump forward to {char} on the line	vim motion
What does F{char} do?	Jump backward to {char} on the line	vim motion
What does t{char} do?	Jump forward till before {char}	vim motion
What does T{char} do?	Jump backward till after {char}	vim motion
What does ; do after f/t/T/F?	Repeat last f/t/T/F motion	vim motion
What does , do after f/t/T/F?	Repeat last f/t/T/F in opposite direction	vim motion
What does % do?	Jump to matching bracket/brace/parenthesis	vim motion
What does H do?	Move to top of screen	vim motion
What does M do?	Move to middle of screen	vim motion
What does L do?	Move to bottom of screen	vim motion
What does Ctrl-u do?	Scroll up half a screen	vim motion
What does Ctrl-d do?	Scroll down half a screen	vim motion
What does Ctrl-b do?	Scroll up one full screen	vim motion
What does Ctrl-f do?	Scroll down one full screen	vim motion
What does zz do?	Center current line on screen	vim motion
What does zt do?	Put current line at top of screen	vim motion
What does zb do?	Put current line at bottom of screen	vim motion
What does i do?	Insert before cursor	vim insert
What does I do?	Insert at start of line (first non-blank)	vim insert
What does a do?	Append after cursor	vim insert
What does A do?	Append at end of line	vim insert
What does o do?	Open new line below and enter Insert mode	vim insert
What does O do?	Open new line above and enter Insert mode	vim insert
What does s do?	Substitute (delete) one character and enter Insert mode	vim edit
What does S do?	Substitute entire line (delete line) and enter Insert mode	vim edit
What does r{char} do?	Replace single character under cursor with {char}	vim edit
What does R do?	Enter Replace mode (overwrite)	vim edit
What does x do?	Delete character under cursor	vim operator
What does X do?	Delete character before cursor	vim operator
What does dd do?	Delete current line	vim operator
What does D do?	Delete from cursor to end of line	vim operator
What does dw do?	Delete from cursor to next word start	vim operator
